"";"Localidad";"Ind_localidad";"DAP_cm";"Altura_m";"WD";"X";"Y";"Parcela"
"17005";"Maceo";"9_110A";11,78;NA;0,73;9,3401;79,2087;"Maceo_1_4"
"17229";"Maceo";"9_547A";10,98;NA;0,766;64,5161;24,4651;"Maceo_4_2"
"21893";"Porce";"10_4";29,51;NA;0,73;1,0406;6,0089;"Porce_1_1"
"21898";"Porce";"10_9";30,91;NA;0,4559375;12,4627;9,2932;"Porce_1_1"
"21903";"Porce";"10_14";28,68;NA;0,353166667;14,6866;11,835;"Porce_1_1"
"21908";"Porce";"10_19";11,59;15,1;0,5055;15,9988;14,9772;"Porce_1_1"
"21913";"Porce";"10_24";16,36;15,4;0,577092593;9,0386;14,055;"Porce_1_1"
"21919";"Porce";"10_30";21,65;18,1;0,353166667;6,0758;23,0121;"Porce_1_2"
"21924";"Porce";"10_35";18,81;15,7;0,475;18,8745;27,6239;"Porce_1_2"
"21929";"Porce";"10_40";42,02;NA;0,475;19,2997;32,4905;"Porce_1_2"
"21934";"Porce";"10_45";14,1;NA;0,696666667;9,5096;39,522;"Porce_1_2"
"21941";"Porce";"10_52";12,7;NA;0,77;0,459;48,8964;"Porce_1_3"
"21946";"Porce";"10_57";20,15;NA;0,585142857;12,9619;42,4078;"Porce_1_3"
"21951";"Porce";"10_62";30,72;NA;0,353166667;19,5631;49,3735;"Porce_1_3"
"21956";"Porce";"10_67";11,11;NA;0,696666667;12,0061;57,8994;"Porce_1_3"
"21961";"Porce";"10_72";12,19;15,4;0,696666667;16,2876;53,776;"Porce_1_3"
"21966";"Porce";"10_77";10,63;12,6;0,625;1,4111;59,3553;"Porce_1_3"
"21971";"Porce";"10_83";19,89;NA;0,475;1,8087;60,9637;"Porce_1_4"
"21976";"Porce";"10_90";10,12;12,7;0,629;8,1384;63,9784;"Porce_1_4"
"21982";"Porce";"10_96";10,7;15,2;0,511571429;17,8942;68,9731;"Porce_1_4"
"21987";"Porce";"10_101";15,37;NA;0,350666667;12,1063;71,9455;"Porce_1_4"
"21992";"Porce";"10_106";16,62;16,8;0,73;12,5523;79,0287;"Porce_1_4"
"21997";"Porce";"10_111";19,8;14;0,577092593;1,4866;74,4832;"Porce_1_4"
"22002";"Porce";"10_116";19,07;15,2;0,511571429;6,7014;76,0731;"Porce_1_4"
"22010";"Porce";"10_124";33,33;20;0,350666667;14,2178;83,3825;"Porce_1_5"
"22015";"Porce";"10_130";13,37;15,4;0,73;11,689;91,5904;"Porce_1_5"
"22021";"Porce";"10_136";17,92;NA;0,445375;17,4913;98,7456;"Porce_1_5"
"22026";"Porce";"10_141";21,1;16,2;0,73;18,1678;93,6979;"Porce_1_5"
"22033";"Porce";"10_148";17,32;10,7;0,47;7,886;90,2605;"Porce_1_5"
"22038";"Porce";"10_153";26,9;12,05;0,353166667;28,3188;8,4479;"Porce_2_1"
"22043";"Porce";"10_158";16,3;NA;0,593333333;32,6742;6,9513;"Porce_2_1"
"22048";"Porce";"10_163";11,87;13;0,445375;34,549;13,5904;"Porce_2_1"
"22053";"Porce";"10_169";31,29;NA;0,353166667;35,5993;18,9231;"Porce_2_1"
"22064";"Porce";"10_183";10,28;NA;0,43;25,8894;19,2817;"Porce_2_1"
"22077";"Porce";"10_196";23,56;NA;0,4559375;28,069;25,9929;"Porce_2_2"
"22082";"Porce";"10_201";10;NA;0,585142857;32,5881;28,9847;"Porce_2_2"
"22088";"Porce";"10_207";35,27;18,7;0,445375;34,2361;34,3726;"Porce_2_2"
"22093";"Porce";"10_212";11,11;NA;0,625;35,1476;38,7949;"Porce_2_2"
"22098";"Porce";"10_217";10,28;8,1;0,585142857;24,0708;47,2309;"Porce_2_3"
"22103";"Porce";"10_223";11,27;NA;0,593333333;28,0383;47,6737;"Porce_2_3"
"22108";"Porce";"10_228";19,74;13,7;0,71;34,5096;44,1087;"Porce_2_3"
"22113";"Porce";"10_234";18,94;16,5;0,629;39,6138;43,604;"Porce_2_3"
"22118";"Porce";"10_240";14,99;11,3;0,47;37,2607;56,8394;"Porce_2_3"
"22123";"Porce";"10_245";22,38;22,9;0,47;22,9396;54,8495;"Porce_2_3"
"22128";"Porce";"10_251";14,32;17,5;0,614666667;27,5021;51,9325;"Porce_2_3"
"22133";"Porce";"10_256";16,55;NA;0,593333333;20,6362;62,6586;"Porce_2_4"
"22139";"Porce";"10_262";15,41;NA;0,353166667;31,4433;61,1052;"Porce_2_4"
"22145";"Porce";"10_268";21,17;16,6;0,73;33,4469;70,937;"Porce_2_4"
"22151";"Porce";"10_274";16,11;16,4;0,353166667;34,6732;78,5216;"Porce_2_4"
"22157";"Porce";"10_280";22,03;23,1;0,475;20,8495;74,6739;"Porce_2_4"
"22167";"Porce";"10_290";18,59;10,9;0,47;24,8017;83,1521;"Porce_2_5"
"22172";"Porce";"10_295";12,22;NA;0,585142857;38,0381;80,977;"Porce_2_5"
"22177";"Porce";"10_300";16,46;12,3;0,589066667;34,6892;99,3687;"Porce_2_5"
"22182";"Porce";"10_305";16,74;19,9;0,47;22,7269;94,5264;"Porce_2_5"
"22187";"Porce";"10_310";17,57;NA;0,47;29,2927;94,1112;"Porce_2_5"
"22192";"Porce";"10_315";12,57;12,5;0,56;43,2363;1,1267;"Porce_3_1"
"22197";"Porce";"10_321";15,02;NA;0,353166667;53,7453;6,7846;"Porce_3_1"
"22202";"Porce";"10_326";10,89;10,1;0,625;54,8342;12,5372;"Porce_3_1"
"22208";"Porce";"10_332";13,75;12,9;0,577092593;43,0134;10,1944;"Porce_3_1"
"22214";"Porce";"10_338";23;18,1;0,741037037;40,578;14,8486;"Porce_3_1"
"22219";"Porce";"10_343";19,07;17,5;0,73;48,3711;14,4788;"Porce_3_1"
"22225";"Porce";"10_349";17,19;16,7;0,445375;57,6338;26,7349;"Porce_3_2"
"22230";"Porce";"10_354";14,96;15,2;0,629;53,6772;35,1631;"Porce_3_2"
"22236";"Porce";"10_360";12,86;11,2;0,629;55,7513;30,7888;"Porce_3_2"
"22241";"Porce";"10_366";13,15;12,3;0,445375;45,5256;34,6943;"Porce_3_2"
"22250";"Porce";"10_375";19,1;NA;0,585142857;42,1862;45,3945;"Porce_3_3"
"22255";"Porce";"10_380";11,08;20,8;0,629;53,0419;45,5037;"Porce_3_3"
"22260";"Porce";"10_385";11,56;10;0,41;59,6864;47,3907;"Porce_3_3"
"22267";"Porce";"10_392";13,69;12,2;0,47;51,0714;55,2025;"Porce_3_3"
"22272";"Porce";"10_397";23,01;19;0,350666667;41,4037;50,8308;"Porce_3_3"
"22277";"Porce";"10_402";18,3;18,2;0,43;46,3024;53,759;"Porce_3_3"
"22282";"Porce";"10_407";12,83;11;0,71;45,7095;51,4967;"Porce_3_3"
"22287";"Porce";"10_412";21,01;NA;0,43;45,9736;66,169;"Porce_3_4"
"22292";"Porce";"10_417";15,18;13;0,511571429;54,1077;61,8055;"Porce_3_4"
"22297";"Porce";"10_422";33,49;22,35;0,4559375;55,3691;62,5195;"Porce_3_4"
"22304";"Porce";"10_430";23,87;NA;0,350666667;54,6598;79,7823;"Porce_3_4"
"22311";"Porce";"10_438";17,89;NA;0,71;43,1742;75,8493;"Porce_3_4"
"22317";"Porce";"10_444";18,78;9,8;0,819962424;47,9871;70,7832;"Porce_3_4"
"22322";"Porce";"10_449";13,75;NA;0,47;42,4226;85,4186;"Porce_3_5"
"22328";"Porce";"10_455";10;9,1;0,71;52,3012;84,6006;"Porce_3_5"
"22333";"Porce";"10_460";15,6;NA;0,741037037;57,7808;80,8499;"Porce_3_5"
"22339";"Porce";"10_466";15,34;NA;0,47;52,0573;97,543;"Porce_3_5"
"22345";"Porce";"10_473";24,83;NA;0,475;56,4577;90,4366;"Porce_3_5"
"22350";"Porce";"10_478";10,28;NA;0,62;43,8877;98,696;"Porce_3_5"
"22355";"Porce";"10_483";27,09;19,5;0,350666667;45,9684;91,2952;"Porce_3_5"
"22362";"Porce";"10_490";31,99;NA;0,4559375;61,7618;5,8221;"Porce_4_1"
"22367";"Porce";"10_495";11,84;NA;0,590804235;73,3659;6,3467;"Porce_4_1"
"22372";"Porce";"10_500";26,13;NA;0,353166667;78,5304;8,573;"Porce_4_1"
"22377";"Porce";"10_505";12,06;NA;0,56;71,3998;15,0318;"Porce_4_1"
"22384";"Porce";"10_512";15,4;NA;0,62;77,466;12,0224;"Porce_4_1"
"22392";"Porce";"10_520";19,67;NA;0,475;67,8713;14,1257;"Porce_4_1"
"22397";"Porce";"10_526";20,02;NA;0,577092593;66,0206;28,7959;"Porce_4_2"
"22403";"Porce";"10_532";15,12;12,7;0,353166667;72,6746;21,5016;"Porce_4_2"
"22408";"Porce";"10_537";12,99;10,6;0,353166667;75,2643;28,6605;"Porce_4_2"
"22415";"Porce";"10_544";20,37;NA;0,629;70,5524;34,5943;"Porce_4_2"
"22420";"Porce";"10_549";11,36;10,8;0,577092593;79,4558;32,651;"Porce_4_2"
"22427";"Porce";"10_556";18,24;17,7;0,629;65,155;35,4997;"Porce_4_2"
"22432";"Porce";"10_561";18,91;NA;0,353166667;66,8639;32,3618;"Porce_4_2"
"22438";"Porce";"10_567";34,95;NA;0,475;60,9036;49,1504;"Porce_4_3"
"22445";"Porce";"10_574";30,3;NA;0,353166667;70,9093;48,1761;"Porce_4_3"
"22453";"Porce";"10_582";12,67;NA;0,614666667;70,2675;59,8215;"Porce_4_3"
"22460";"Porce";"10_589";21,96;14,8;0,353166667;78,1577;51,8457;"Porce_4_3"
"22465";"Porce";"10_594";13,85;12,4;0,590804235;61,8525;58,5363;"Porce_4_3"
"22470";"Porce";"10_599";11,91;9,8;0,577092593;69,0182;50,701;"Porce_4_3"
"22478";"Porce";"10_607";17,7;NA;0,774;67,7579;69,5743;"Porce_4_4"
"22483";"Porce";"10_612";21,17;15;0,577092593;65,7541;60,3454;"Porce_4_4"
"22489";"Porce";"10_618";11,01;NA;0,62;75,9319;63,4254;"Porce_4_4"
"22494";"Porce";"10_623";10,63;12,4;0,614666667;71,8194;71,6858;"Porce_4_4"
"22500";"Porce";"10_629";10,7;NA;0,696666667;77,5869;71,4897;"Porce_4_4"
"22506";"Porce";"10_635";11,3;13,5;0,45;63,1133;74,7274;"Porce_4_4"
"22513";"Porce";"10_642";15,63;9,6;0,47;62,076;84,51;"Porce_4_5"
"22519";"Porce";"10_648";11,52;10,3;0,625;68,0602;85,5824;"Porce_4_5"
"22524";"Porce";"10_653";23,49;16,8;0,350666667;72,4451;84,8084;"Porce_4_5"
"22530";"Porce";"10_659";11,4;NA;0,529666667;73,4091;92,1536;"Porce_4_5"
"22537";"Porce";"10_666";13,21;18,5;0,47;63,3146;98,8084;"Porce_4_5"
"22542";"Porce";"10_671";18,18;NA;0,511571429;65,968;99,1193;"Porce_4_5"
"22547";"Porce";"10_676";12,19;NA;0,577092593;83,0635;4,2034;"Porce_5_1"
"22554";"Porce";"10_683";11,11;9,7;0,590804235;87,0597;0,2745;"Porce_5_1"
"22559";"Porce";"10_688";20,69;NA;0,475;99,7707;0,4996;"Porce_5_1"
"22564";"Porce";"10_693";31,9;NA;0,475;99,7359;11,2011;"Porce_5_1"
"22569";"Porce";"10_699";18,24;12,8;0,73;84,7558;15,8688;"Porce_5_1"
"22574";"Porce";"10_704";29,64;NA;0,353166667;81,5456;20,8509;"Porce_5_2"
"22581";"Porce";"10_711";19,58;15;0,475;92,5365;22,1603;"Porce_5_2"
"22587";"Porce";"10_717";20,69;NA;0,350666667;96,4374;21,7561;"Porce_5_2"
"22593";"Porce";"10_723";26,42;NA;0,4559375;91,268;39,6203;"Porce_5_2"
"22599";"Porce";"10_729";10;NA;0,629222222;96,4397;34,2095;"Porce_5_2"
"22604";"Porce";"10_734";27,22;NA;0,696666667;82,9286;33,6145;"Porce_5_2"
"22612";"Porce";"10_742";39,63;18,4;0,397333333;83,2284;45,9878;"Porce_5_3"
"22618";"Porce";"10_748";11,59;NA;0,62;88,6637;41,581;"Porce_5_3"
"22623";"Porce";"10_754";10,5;NA;0,62;98,1135;40,3183;"Porce_5_3"
"22628";"Porce";"10_759";18,43;NA;0,62;97,4655;52,7861;"Porce_5_3"
"22633";"Porce";"10_764";30,97;20,1;0,350666667;84,7628;53,7391;"Porce_5_3"
"22638";"Porce";"10_769";14,01;NA;0,629;87,5089;56,5681;"Porce_5_3"
"22644";"Porce";"10_775";15,12;NA;0,614666667;82,9347;60,2499;"Porce_5_4"
"22649";"Porce";"10_780";24,29;11,5;0,696666667;82,5726;69,8116;"Porce_5_4"
"22654";"Porce";"10_785";10,95;NA;0,62;86,9094;64,0866;"Porce_5_4"
"22659";"Porce";"10_790";10,35;NA;0,71;90,9988;60,4666;"Porce_5_4"
"22664";"Porce";"10_796";29,7;NA;0,350666667;95,8323;68,8568;"Porce_5_4"
"22669";"Porce";"10_801";20,69;11,3;0,350666667;92,443;77,6442;"Porce_5_4"
"22675";"Porce";"10_807";25,24;NA;0,577092593;96,1367;71,5549;"Porce_5_4"
"22681";"Porce";"10_813";12,99;NA;0,47;85,3448;76,4578;"Porce_5_4"
"22689";"Porce";"10_822";16,68;NA;0,445375;81,12;84,1263;"Porce_5_5"
"22696";"Porce";"10_829";13,4;NA;0,741037037;94,778;80,2428;"Porce_5_5"
"22701";"Porce";"10_834";19,61;NA;0,629222222;98,4635;87,9894;"Porce_5_5"
"22706";"Porce";"10_839";32,47;17,4;0,350666667;94,3348;91,3101;"Porce_5_5"
"22711";"Porce";"10_844";19;13;0,47;99,0525;99,2659;"Porce_5_5"
"22716";"Porce";"10_849";26,61;NA;0,350666667;80,8936;95,696;"Porce_5_5"
"22721";"Porce";"10_854";26,2;20,3;0,73;89,4932;95,348;"Porce_5_5"
"30345";"Ventanas";"13_3";11,01;12,85;0,590804235;1,3813;8,1067;"Ventanas_1_1"
"30350";"Ventanas";"13_8";21,74;NA;0,590804235;9,8573;1,4969;"Ventanas_1_1"
"30355";"Ventanas";"13_13";19,89;NA;0,49;5,1015;0,0877;"Ventanas_1_1"
"30360";"Ventanas";"13_19";22,51;17,36;0,590804235;1,2679;17,9843;"Ventanas_1_1"
"30365";"Ventanas";"13_24";16,11;NA;0,577092593;9,8339;16,0005;"Ventanas_1_1"
"30370";"Ventanas";"13_29";22,12;18,41;0,589066667;18,1023;17,4475;"Ventanas_1_1"
"30375";"Ventanas";"13_35";28,84;NA;0,5627;11,9183;4,0587;"Ventanas_1_1"
"30380";"Ventanas";"13_40";22,89;22,13;0,576666667;18,1257;4,7435;"Ventanas_1_1"
"30385";"Ventanas";"13_46";29,44;26,43;0,607288889;1,4629;38,4291;"Ventanas_1_2"
"30390";"Ventanas";"13_51";12,29;7,68;0,590804235;6,9477;31,1263;"Ventanas_1_2"
"30395";"Ventanas";"13_56";17,89;NA;0,49;10,2809;39,6905;"Ventanas_1_2"
"30400";"Ventanas";"13_61";33,9;17,54;0,722760274;17,4551;30,8331;"Ventanas_1_2"
"30405";"Ventanas";"13_67";23,01;18,26;0,510402667;4,6127;40,9353;"Ventanas_1_3"
"30410";"Ventanas";"13_72";12,26;NA;0,419833333;0,7919;40,6361;"Ventanas_1_3"
"30415";"Ventanas";"13_80";25,18;19,77;0,510402667;8,4293;41,9025;"Ventanas_1_3"
"30420";"Ventanas";"13_85";18,4;12,25;0,57;0,4289;58,0353;"Ventanas_1_3"
"30426";"Ventanas";"13_91";12,1;11,07;0,562449275;7,6935;56,6845;"Ventanas_1_3"
"30431";"Ventanas";"13_96";10,66;NA;0,590804235;7,9433;52,4791;"Ventanas_1_3"
"30436";"Ventanas";"13_101";16,9;16,82;0,408433333;12,5769;54,0241;"Ventanas_1_3"
"30441";"Ventanas";"13_106";13,18;14,45;0,49;13,1605;56,7797;"Ventanas_1_3"
"30446";"Ventanas";"13_112";25,18;13,84;0,45;16,8601;50,2335;"Ventanas_1_3"
"30451";"Ventanas";"13_119";53,99;32,36;0,825263021;17,9971;44,3637;"Ventanas_1_3"
"30456";"Ventanas";"13_124";34,22;17,67;0,510402667;2,2993;64,5459;"Ventanas_1_4"
"30461";"Ventanas";"13_130";14,71;11,56;0,49;6,9069;79,0605;"Ventanas_1_4"
"30466";"Ventanas";"13_135";17,16;16,01;0,510402667;11,8641;79,8893;"Ventanas_1_4"
"30471";"Ventanas";"13_141";13,75;13,5;0,45;18,5167;73,9171;"Ventanas_1_4"
"30476";"Ventanas";"13_146";24,45;17,9;0,339835034;11,9793;62,0397;"Ventanas_1_4"
"30481";"Ventanas";"13_151";10,7;NA;0,590804235;14,2377;68,9627;"Ventanas_1_4"
"30486";"Ventanas";"13_158";41,99;17,72;0,493083333;0,6295;84,3233;"Ventanas_1_5"
"30491";"Ventanas";"13_164";19,32;NA;0,577092593;9,0707;87,0295;"Ventanas_1_5"
"30497";"Ventanas";"13_172";29,85;NA;0,647;2,5049;90,3401;"Ventanas_1_5"
"30502";"Ventanas";"13_178";30,90788995;NA;0,408433333;14,8769;91,0143;"Ventanas_1_5"
"30507";"Ventanas";"13_184";27,2;14,78;0,576666667;15,2753;93,7587;"Ventanas_1_5"
"30512";"Ventanas";"13_190";11,84;NA;0,589066667;12,7937;88,1905;"Ventanas_1_5"
"30517";"Ventanas";"13_195";39,15;NA;0,589066667;19,6309;81,9803;"Ventanas_1_5"
"30522";"Ventanas";"13_200";15,6;NA;0,585666667;21,8491;1,8403;"Ventanas_2_1"
"30527";"Ventanas";"13_205";19,89;15,17;0,590804235;26,0055;9,4877;"Ventanas_2_1"
"30532";"Ventanas";"13_210";10,89;10,87;0,493083333;23,3067;11,5069;"Ventanas_2_1"
"30537";"Ventanas";"13_215";11,14;8,19;0,493083333;25,9549;14,0079;"Ventanas_2_1"
"30542";"Ventanas";"13_221";21,17;NA;0,563114975;37,1629;18,0407;"Ventanas_2_1"
"30547";"Ventanas";"13_227";12,38;10,05;0,3935;32,7039;2,4347;"Ventanas_2_1"
"30552";"Ventanas";"13_232";11,21;11,03;0,741037037;31,3217;5,8493;"Ventanas_2_1"
"30557";"Ventanas";"13_238";25,72;NA;0,577092593;37,9975;8,8709;"Ventanas_2_1"
"30562";"Ventanas";"13_243";19,04;NA;0,590804235;38,0487;0,6583;"Ventanas_2_1"
"30567";"Ventanas";"13_252";14,9;16,61;0,590804235;26,9075;23,5353;"Ventanas_2_2"
"30572";"Ventanas";"13_257";13,59;10,29;0,493083333;28,5633;38,5525;"Ventanas_2_2"
"30577";"Ventanas";"13_262";17,51;14,88;0,771333333;34,5673;30,8961;"Ventanas_2_2"
"30582";"Ventanas";"13_267";12,16;10,42;0,578086944;32,1555;35,6901;"Ventanas_2_2"
"30587";"Ventanas";"13_272";17,19;13,6;0,4784;38,3149;32,8363;"Ventanas_2_2"
"30593";"Ventanas";"13_279";10,98;NA;0,629222222;39,0297;27,2507;"Ventanas_2_2"
"30598";"Ventanas";"13_284";22,57;13,3;0,45;20,5483;40,6699;"Ventanas_2_3"
"30603";"Ventanas";"13_289";20,98;12,97;0,493083333;29,7143;41,5753;"Ventanas_2_3"
"30608";"Ventanas";"13_294";14,58;8,69;0,590804235;28,4521;54,5083;"Ventanas_2_3"
"30613";"Ventanas";"13_299";12,35;6,22;0,589066667;32,1395;57,7245;"Ventanas_2_3"
"30618";"Ventanas";"13_304";39,25;NA;0,590804235;38,1695;59,5381;"Ventanas_2_3"
"30623";"Ventanas";"13_309";10,79;NA;0,590804235;36,6567;52,3589;"Ventanas_2_3"
"30628";"Ventanas";"13_315";14,67;9,57;0,629222222;39,4611;49,8775;"Ventanas_2_3"
"30633";"Ventanas";"13_320";17,63;8,8;0,45;24,9775;60,1103;"Ventanas_2_4"
"30638";"Ventanas";"13_326";20,37;NA;0,493083333;22,2089;63,1069;"Ventanas_2_4"
"30644";"Ventanas";"13_333";11,14;12,15;0,47;29,7563;78,7987;"Ventanas_2_4"
"30649";"Ventanas";"13_339";10,31;NA;0,5392;33,1369;72,0057;"Ventanas_2_4"
"30655";"Ventanas";"13_345";25,5;NA;0,590804235;37,4441;78,2315;"Ventanas_2_4"
"30660";"Ventanas";"13_350";25,15;NA;0,408433333;39,1027;78,3429;"Ventanas_2_4"
"30665";"Ventanas";"13_355";18,65;10,15;0,4;34,0493;62,6393;"Ventanas_2_4"
"30670";"Ventanas";"13_360";10,92;NA;0,45;39,1871;69,5685;"Ventanas_2_4"
"30675";"Ventanas";"13_365";18,21;NA;0,79817;22,7159;81,0583;"Ventanas_2_5"
"30681";"Ventanas";"13_371";14,96;19,63;0,533541667;29,1501;85,7751;"Ventanas_2_5"
"30686";"Ventanas";"13_376";23,49;NA;0,590804235;20,4799;91,2025;"Ventanas_2_5"
"30691";"Ventanas";"13_381";14,45;NA;0,79817;32,2347;93,1421;"Ventanas_2_5"
"30698";"Ventanas";"13_388";16,78;NA;0,640166667;35,8723;96,8911;"Ventanas_2_5"
"30703";"Ventanas";"13_393";13,08;NA;0,590804235;39,7049;91,9991;"Ventanas_2_5"
"30708";"Ventanas";"13_400";12,35;NA;0,590804235;39,1389;89,2307;"Ventanas_2_5"
"30713";"Ventanas";"13_406";12,64;10,84;0,590804235;38,9669;81,9949;"Ventanas_2_5"
"30718";"Ventanas";"13_411";10,09;NA;0,5627;42,3631;2,9895;"Ventanas_3_1"
"30723";"Ventanas";"13_416";11,46;NA;0,58;48,8769;3,3707;"Ventanas_3_1"
"30728";"Ventanas";"13_423";17,32;NA;0,5392;43,2759;17,3323;"Ventanas_3_1"
"30733";"Ventanas";"13_428";22,22;NA;0,596666667;53,6397;12,3865;"Ventanas_3_1"
"30738";"Ventanas";"13_433";17,54;NA;0,596666667;52,0751;1,0727;"Ventanas_3_1"
"30743";"Ventanas";"13_438";12,1;5,83;0,539081638;53,8093;4,3251;"Ventanas_3_1"
"30748";"Ventanas";"13_445";15,63;13,27;0,577092593;41,6575;28,2829;"Ventanas_3_2"
"30754";"Ventanas";"13_451";15,66;NA;0,590804235;40,9281;32,1003;"Ventanas_3_2"
"30759";"Ventanas";"13_456";11,84;NA;0,590804235;42,4805;39,0947;"Ventanas_3_2"
"30764";"Ventanas";"13_463";22,35;NA;0,577092593;52,1315;35,4341;"Ventanas_3_2"
"30769";"Ventanas";"13_468";16,23;NA;0,69;55,7217;36,6889;"Ventanas_3_2"
"30774";"Ventanas";"13_473";11,3;9,67;0,493083333;52,4505;20,4527;"Ventanas_3_2"
"30779";"Ventanas";"13_478";11,94;NA;0,577092593;56,1795;28,6627;"Ventanas_3_2"
"30784";"Ventanas";"13_485";15,53;NA;0,510402667;41,6813;49,7463;"Ventanas_3_3"
"30789";"Ventanas";"13_490";13,34;NA;0,590804235;44,2669;50,0815;"Ventanas_3_3"
"30794";"Ventanas";"13_495";11,01;7,28;0,647;46,8677;53,0113;"Ventanas_3_3"
"30799";"Ventanas";"13_500";34,28;NA;0,590804235;51,9995;54,1457;"Ventanas_3_3"
"30804";"Ventanas";"13_505";10,47;NA;0,676428571;54,4925;57,5031;"Ventanas_3_3"
"30809";"Ventanas";"13_512";18,4;11,95;0,493083333;57,2419;54,5989;"Ventanas_3_3"
"30814";"Ventanas";"13_517";18,94;11,43;0,45;51,6885;42,9791;"Ventanas_3_3"
"30819";"Ventanas";"13_522";15,37;NA;0,493083333;57,4081;42,7029;"Ventanas_3_3"
"30824";"Ventanas";"13_527";11,3;NA;0,408433333;43,0583;61,1615;"Ventanas_3_4"
"30829";"Ventanas";"13_533";16,23;NA;0,590804235;47,3069;68,4467;"Ventanas_3_4"
"30835";"Ventanas";"13_539";29,6;19,81;0,590804235;46,1637;61,6815;"Ventanas_3_4"
"30841";"Ventanas";"13_546";14,64;NA;0,590804235;48,7787;76,0771;"Ventanas_3_4"
"30846";"Ventanas";"13_552";13,69;11,4;0,493083333;48,5477;70,1537;"Ventanas_3_4"
"30851";"Ventanas";"13_557";16,17;NA;0,539081638;56,3315;78,3197;"Ventanas_3_4"
"30856";"Ventanas";"13_562";15,76;NA;0,45;52,2421;66,8537;"Ventanas_3_4"
"30861";"Ventanas";"13_567";15,02;NA;0,722760274;59,5349;61,1705;"Ventanas_3_4"
"30866";"Ventanas";"13_573";10,38;NA;0,69;42,5667;84,7811;"Ventanas_3_5"
"30872";"Ventanas";"13_580";10,41;NA;0,577092593;49,3077;86,1609;"Ventanas_3_5"
"30877";"Ventanas";"13_585";16,71;NA;0,577092593;43,7943;92,3673;"Ventanas_3_5"
"30882";"Ventanas";"13_590";11,96845172;12,03;0,408433333;48,7889;91,4163;"Ventanas_3_5"
"30887";"Ventanas";"13_600";10,15;NA;0,577092593;52,3269;82,4375;"Ventanas_3_5"
"30892";"Ventanas";"13_605";29,92;NA;0,493083333;56,7191;81,4651;"Ventanas_3_5"
"30897";"Ventanas";"13_612";31,85;NA;0,408433333;62,5701;16,6567;"Ventanas_4_1"
"30902";"Ventanas";"13_618";12,92;NA;0,590804235;71,9803;10,8049;"Ventanas_4_1"
"30907";"Ventanas";"13_623";22,92;NA;0,590804235;75,5133;17,8415;"Ventanas_4_1"
"30914";"Ventanas";"13_631";15,37;NA;0,408433333;73,9779;6,6699;"Ventanas_4_1"
"30920";"Ventanas";"13_637";11,05;NA;0,722760274;76,8253;3,7723;"Ventanas_4_1"
"30925";"Ventanas";"13_643";13,08;13,31;0,590804235;63,6231;23,2719;"Ventanas_4_2"
"30930";"Ventanas";"13_648";31,6;NA;0,590804235;68,6147;25,9375;"Ventanas_4_2"
"30935";"Ventanas";"13_653";21,61;NA;0,590804235;63,0203;32,9681;"Ventanas_4_2"
"30940";"Ventanas";"13_659";10,44;12,87;0,590804235;62,4289;38,4907;"Ventanas_4_2"
"30945";"Ventanas";"13_664";12,51;NA;0,5627;66,0521;39,6735;"Ventanas_4_2"
"30950";"Ventanas";"13_669";12,45;8,74;0,533541667;66,4883;34,7869;"Ventanas_4_2"
"30956";"Ventanas";"13_676";17,22;NA;0,8155;71,2131;34,6201;"Ventanas_4_2"
"30961";"Ventanas";"13_682";15,18;NA;0,408433333;78,5865;37,6303;"Ventanas_4_2"
"30966";"Ventanas";"13_687";11,5;NA;0,577092593;76,6827;33,0845;"Ventanas_4_2"
"30971";"Ventanas";"13_692";16,36;10,72;0,612571429;60,9577;41,9817;"Ventanas_4_3"
"30978";"Ventanas";"13_699";10,41;NA;0,576666667;64,9763;53,3161;"Ventanas_4_3"
"30983";"Ventanas";"13_705";10,44;13,41;0,5392;65,6767;58,8851;"Ventanas_4_3"
"30988";"Ventanas";"13_710";16,3;NA;0,514030303;68,0053;52,8679;"Ventanas_4_3"
"30994";"Ventanas";"13_716";11,84;8,51;0,58;78,2603;58,3335;"Ventanas_4_3"
"31001";"Ventanas";"13_723";14,17;NA;0,629222222;71,7069;45,1527;"Ventanas_4_3"
"31006";"Ventanas";"13_728";25,75;NA;0,69;79,5525;49,2441;"Ventanas_4_3"
"31011";"Ventanas";"13_733";13,21;NA;0,596666667;63,8981;63,7729;"Ventanas_4_4"
"31017";"Ventanas";"13_739";15,98;NA;0,514030303;66,2371;63,9001;"Ventanas_4_4"
"31023";"Ventanas";"13_748";17,16;NA;0,629222222;63,4745;77,6957;"Ventanas_4_4"
"31029";"Ventanas";"13_755";17,25;NA;0,722760274;72,1521;71,5041;"Ventanas_4_4"
"31034";"Ventanas";"13_762";12,48;NA;0,590804235;76,0181;79,6383;"Ventanas_4_4"
"31039";"Ventanas";"13_768";10,47;NA;0,5392;75,8391;73,3411;"Ventanas_4_4"
"31044";"Ventanas";"13_773";10,82;NA;0,722760274;72,1113;64,4381;"Ventanas_4_4"
"31049";"Ventanas";"13_778";15,06;NA;0,5392;64,6023;84,0299;"Ventanas_4_5"
"31054";"Ventanas";"13_784";13,53;NA;0,514030303;62,5923;84,1055;"Ventanas_4_5"
"31059";"Ventanas";"13_789";15,53;NA;0,629222222;66,0595;86,8965;"Ventanas_4_5"
