"";"N_arbol";"DAP_m";"Diametro_base_m";"Ht_m";"hi_m";"di_m";"Peso_total_trozas_kg";"Peso_verde_rodaja_kg";"Peso_seco_rodaja_kg";"Area_rodaja_m2";"Espesor_rodaja_m2";"Peso_verde_total_ramas_kg";"Peso_verde_total_hojas_kg";"Peso_verde_muestra_ramas_kg";"Peso_seco_muestra_ramas_kg";"Peso_verde_muestra_hojas_kg";"Peso_seco_muestra_hojas_kg"
"43";5;0,232;0,3455;14,72;4,416;0,198306595;56;0,816;0,3568;0,037815;0,0196375;NA;NA;NA;NA;NA;NA
"44";5;0,232;0,3455;14,72;5,888;0,180481283;48,5;0,892;0,37982;0,029765;0,0276125;NA;NA;NA;NA;NA;NA
"45";5;0,232;0,3455;14,72;7,36;0,161382735;36,5;0,712;0,31381;0,02351;0,0268125;NA;NA;NA;NA;NA;NA
"46";5;0,232;0,3455;14,72;8,832;0,148968678;28;0,4378;0,19509;0,020315;0,01955;NA;NA;NA;NA;NA;NA
"47";5;0,232;0,3455;14,72;10,304;0,096765979;22,5;0,4958;0,22019;0,017373;0,0264375;NA;NA;NA;NA;NA;NA
"48";5;0,232;0,3455;14,72;11,776;0,078304049;10,5;0,1851;0,087;0,007415;0,02135;NA;NA;NA;NA;NA;NA
"49";5;0,232;0,3455;14,72;13,248;0,029284441;4;0,0886;0,0425;0,00432;0,018625;NA;NA;NA;NA;NA;NA
"50";5;0,232;0,3455;14,72;14,72;0,0093;0,422;0,0304;0,0157;0,00065;0,04455;NA;NA;NA;NA;NA;NA
"51";6;0,105;0,1475;6,59;0,659;0,12987013;10;0,4145;0,21825;0,017453;0,0203;8,38;4,19;2,2;1,6;0,511;0,17
"52";6;0,105;0,1475;6,59;1,318;0,110453272;7;0,3036;0,1606;0,011383;0,0229375;NA;NA;NA;NA;NA;NA
"53";6;0,105;0,1475;6,59;1,977;0,108225108;6;0,2556;0,13318;0,008775;0,0240375;NA;NA;NA;NA;NA;NA
"54";6;0,105;0,1475;6,59;2,636;0,098039216;6;0,1713;0,1005;0,008545;0,0173;NA;NA;NA;NA;NA;NA
"55";6;0,105;0,1475;6,59;3,295;0,092309651;5,5;0,1862;0,1018;0,006486;0,024175;NA;NA;NA;NA;NA;NA
"56";6;0,105;0,1475;6,59;3,954;0,083396995;4;0,128;0,0684;0,0061;0,0183125;NA;NA;NA;NA;NA;NA
"57";6;0,105;0,1475;6,59;4,613;0,036605551;2,5;0,0931;0,0507;0,00434;0,0184125;NA;NA;NA;NA;NA;NA
"58";6;0,105;0,1475;6,59;5,272;0,021645022;0,661;0,0188;0,0109;0,000936;0,0177;NA;NA;NA;NA;NA;NA
"59";6;0,105;0,1475;6,59;5,931;0,012732366;0,211;0,0079;0,0048;0,000255;0,02405;NA;NA;NA;NA;NA;NA
"60";6;0,105;0,1475;6,59;6,59;0,067113467;0,0361;0,0027;0,0017;7e-05;0,0264;NA;NA;NA;NA;NA;NA
"61";7;0,2245;0,3145;13,85;1,385;0,242233257;76,5;1,767;1,0329;0,05952;0,0252375;56,7;28,35;2,8;1,2;0,541;0,21
"62";7;0,2245;0,3145;13,85;2,77;0,185255921;72;1,308;0,7616;0,041736;0,0273875;NA;NA;NA;NA;NA;NA
"63";7;0,2245;0,3145;13,85;4,155;0,204991087;39,5;0,871;0,49928;0,024063;0,0306;NA;NA;NA;NA;NA;NA
"64";7;0,2245;0,3145;13,85;5,54;0,162974281;30,5;0,714;0,41339;0,027726;0,02275;NA;NA;NA;NA;NA;NA
"65";7;0,2245;0,3145;13,85;6,925;0,132734912;26;0,6443;0,36456;0,017686;0,03215;NA;NA;NA;NA;NA;NA
"66";7;0,2245;0,3145;13,85;8,31;0,103132162;19,5;0,3781;0,2162;0,012486;0,0271;NA;NA;NA;NA;NA;NA
"67";7;0,2245;0,3145;13,85;9,695;0,071619557;10;0,2032;0,126;0,007366;0,0251375;NA;NA;NA;NA;NA;NA
"68";7;0,2245;0,3145;13,85;11,08;0,049974535;5;0,081;0,0535;0,003825;0,0202125;NA;NA;NA;NA;NA;NA
"69";7;0,2245;0,3145;13,85;12,465;0,03724217;3;0,0339;0,0212;0,001706;0,01875;NA;NA;NA;NA;NA;NA
"70";7;0,2245;0,3145;13,85;13,85;0,01255;1,5;0,0139;0,0087;0,000823;0,0164125;NA;NA;NA;NA;NA;NA
"71";8;0,1635;0,2555;10,34;1,034;0,197033359;22,5;0,8347;0,0207;0,028723333;0,027425;19,87;9,93;2,3;1,6;0,493;0,27
"72";8;0,1635;0,2555;10,34;2,068;0,165839063;21,5;0,5972;0,3123;0,022105;0,0297375;NA;NA;NA;NA;NA;NA
"73";8;0,1635;0,2555;10,34;3,102;0,120957474;20;0,4924;0,25754;0,01805;0,02755;NA;NA;NA;NA;NA;NA
"74";8;0,1635;0,2555;10,34;4,136;0,116501146;11;0,209;0,1158;0,009685;0,02265;NA;NA;NA;NA;NA;NA
"75";8;0,1635;0,2555;10,34;5,17;0,112363127;9,5;0,1783;0,0951;0,008445;0,0236875;NA;NA;NA;NA;NA;NA
