"";"Arbol";"DAP..m.";"Ht..m.";"Hi..m.";"Di..m.";"Peso_total_troza..kg.";"Peso_rodajas_humedas_con_corteza.i1..kg.";"Peso_rodajas_humedas_con_corteza.i2..kg.";"Peso_rodajas_secas_con_corteza_.i1..kg.";"Peso_rodajas_secas_con_corteza_.i2..kg.";"Area_rodaja_con_corteza_i1..m2.";"Area_rodaja_con_corteza_i2..m2.";"Espesor_rodaja_i1..m.";"Espesor_rodaja_i2..m.";"Peso_verde.ramas..kg.";"Peso.verde.hojas..kg.";"Peso.verde.muestra.ramas..kg.";"Peso.seco.muestra.ramas..kg.";"Peso.verde.muestra.hojas..kg.";"Peso..seco.muestra.hojas"
"155";15;0,2225;15,85;"0,000";0,325;NA;"";"";"";"";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"156";15;0,2225;15,85;"1,585";0,215;72;"1.735";"10.999";"0,95234";"0,59204";0,05322;0,03472;0,0273375;0,0286375;61,8;30,9;3;1,8;0,529;0,21
"157";15;0,2225;15,85;"3,170";0,201;56;"0,9627";"0,811";"0,51969";"0,44315";0,034493;0,029805;0,024925;0,0246;NA;NA;NA;NA;NA;NA
"158";15;0,2225;15,85;"4,755";0,201;51;"0,9508";"0,8279";"0,51735";"0,45357";0,03051;0,029486;0,0280125;0,0254375;NA;NA;NA;NA;NA;NA
"159";15;0,2225;15,85;"6,340";0,152;53,5;"0,8994";"0,4388";"0,49404";"0,247";0,030455;0,017205;0,0279125;0,023925;NA;NA;NA;NA;NA;NA
"160";15;0,2225;15,85;"7,925";0,131;31,5;"0,4847";"0,3472";"0,2772";"0,19269";0,017425;0,014625;0,0264;0,0221625;NA;NA;NA;NA;NA;NA
"161";15;0,2225;15,85;"9,510";0,127;23;"0,3685";"0,2611";"0,20565";"0,14851";0,01433;0,012763;0,02455;0,0183125;NA;NA;NA;NA;NA;NA
"162";15;0,2225;15,85;"11,095";0,083;11;"0,2386";"0,1129";"0,13448";"0,0651";0,011365;0,005406;0,0201375;0,0211;NA;NA;NA;NA;NA;NA
"163";15;0,2225;15,85;"12,680";0,061;7;"0,1334";"0,0395";"0,068";"0,0227";0,004906;0,00249;0,0252;0,0143875;NA;NA;NA;NA;NA;NA
"164";15;0,2225;15,85;"14,265";0,032;3;"0,0498";"0,0204";"0,0269";"0,0109";0,0026;0,001256;0,0177125;0,0187;NA;NA;NA;NA;NA;NA
"165";15;0,2225;15,85;"15,850";0,007;1;"0,0262";"0,0074";"0,0139";"0,0033";0,00062;0,000106;0,0344875;0,0703;NA;NA;NA;NA;NA;NA
"166";16;0,106;6,37;"0,000";0,136;NA;"";"";"";"";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"167";16;0,106;6,37;"0,637";0,109;10;"0,4833";"0,4115";"0,2492";"0,1877";0,014375;0,0087;0,0288625;0,0404875;7,11;3,55;2,1;1,7;0,518;0,25
"168";16;0,106;6,37;"1,274";0,105;7;"0,2534";"0,2178";"0,1216";"0,077";0,008535;0,00795;0,02515;0,02365;NA;NA;NA;NA;NA;NA
"169";16;0,106;6,37;"1,911";0,106;6,5;"0,1586";"0,2159";"0,0708";"0,117";0,0079;0,00782;0,017175;0,023575;NA;NA;NA;NA;NA;NA
"170";16;0,106;6,37;"2,548";0,078;5;"0,2734";"0,1674";"0,1227";"0,0751";0,006716;0,00545;0,0328625;0,0295625;NA;NA;NA;NA;NA;NA
"171";16;0,106;6,37;"3,185";0,058;3;"0,1182";"0,0558";"0,0501";"0,0243";0,004223;0,0024;0,024025;0,02075;NA;NA;NA;NA;NA;NA
"172";16;0,106;6,37;"3,822";0,048;2;"0,0755";"0,0428";"0,0351";"0,0187";0,00244;0,00178;0,02825;0,0224375;NA;NA;NA;NA;NA;NA
"173";16;0,106;6,37;"4,459";0,042;1;"0,0555";"0,0291";"0,0255";"0,0127";0,002305;0,001235;0,025225;0,0201875;NA;NA;NA;NA;NA;NA
"174";16;0,106;6,37;"5,096";0,038;0,75;"0,0251";"0,0249";"0,0107";"0,0115";0,001226;0,00098;0,0195125;0,024425;NA;NA;NA;NA;NA;NA
"175";16;0,106;6,37;"5,733";0,015;0,24;"0,0197";"0,0022";"0,0107";"0,0011";0,000963;0,00016;0,02065;0,0143;NA;NA;NA;NA;NA;NA
"176";16;0,106;6,37;"6,370";0,009;0,05;"0,0016";"0,0013";"0,0008";"0,0006";0,00016;5,3e-05;0,01118;0,05015;NA;NA;NA;NA;NA;NA
"177";17;0,131;8,33;"0,000";0,165;NA;"";"";"";"";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"178";17;0,131;8,33;"0,833";0,14;15,5;"0,6539";"0,4306";"0,0649";"0,2431";0,017696;0,014393;0,03195;0,02565;13,33;6,67;3,2;1,3;0,496;0,28
"179";17;0,131;8,33;"1,666";0,146;13,5;"0,4797";"0,3448";"0,2706";"0,1928";0,01487;0,016476;0,027925;0,0213375;NA;NA;NA;NA;NA;NA
"180";17;0,131;8,33;"2,499";0,131;13,5;"0,4445";"0,2699";"0,2474";"0,1538";0,017783;0,011645;0,0227625;0,02155;NA;NA;NA;NA;NA;NA
"181";17;0,131;8,33;"3,332";0,088;9,5;"0,2736";"0,1275";"0,2273";"0,0723";0,010835;0,00576;0,02495;0,0207125;NA;NA;NA;NA;NA;NA
"182";17;0,131;8,33;"4,165";0,073;5;"0,1283";"0,0979";"0,0721";"0,0553";0,006275;0,004153;0,018725;0,02505;NA;NA;NA;NA;NA;NA
"183";17;0,131;8,33;"4,998";0,062;4;"0,1094";"0,0568";"0,0621";"0,031";0,004305;0,00311;0,023025;0,0175375;NA;NA;NA;NA;NA;NA
"184";17;0,131;8,33;"5,831";0,054;3;"0,0589";"0,0565";"0,0322";"0,0317";0,002946;0,00158;0,0186125;0,0247375;NA;NA;NA;NA;NA;NA
"185";17;0,131;8,33;"6,664";0,032;1,5;"0,0405";"0,0203";"0,0228";"0,0109";0,00169;0,000855;0,020675;0,020675;NA;NA;NA;NA;NA;NA
"186";17;0,131;8,33;"7,497";0,018;1;"0,019";"0,0091";"0,0113";"0,0048";0,00094;0,000375;0,0192375;0,0271;NA;NA;NA;NA;NA;NA
"187";17;0,131;8,33;"8,330";0,007;0,16;"0,0066";"0,0008";"0,0033";"0,0003";0,00035;3e-05;0,0187375;0,03325;NA;NA;NA;NA;NA;NA
"188";18;0,177;10,75;"0,000";0,238;NA;"";"";"";"";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"189";18;0,177;10,75;"1,075";0,183;31;"0,8953";"0,7139";"0,35731";"0,28916";0,030415;0,024665;0,0243125;0,0280875;28,62;14,31;3,1;1,6;0,512;0,15
"190";18;0,177;10,75;"2,150";0,155;39;"0,637";"0,5472";"0,25971";"0,21959";0,025033;0,01775;0,0237125;0,0257125;NA;NA;NA;NA;NA;NA
"191";18;0,177;10,75;"3,225";0,129;18,5;"0,4485";"0,3335";"0,18283";"0,138";0,017383;0,012305;0,0219375;0,0249875;NA;NA;NA;NA;NA;NA
"192";18;0,177;10,75;"4,300";0,116;18;"0,3284";"0,3172";"0,137";"0,1289";0,012785;0,01153;0,0233375;0,0241125;NA;NA;NA;NA;NA;NA
"193";18;0,177;10,75;"5,375";0,096;16;"0,3061";"0,2102";"0,1273";"0,0867";0,011835;0,00857;0,0235;0,024925;NA;NA;NA;NA;NA;NA
"194";18;0,177;10,75;"6,450";0,081;8;"0,2493";"0,1472";"0,1081";"0,0612";0,006913;0,0046;0,031675;0,0262875;NA;NA;NA;NA;NA;NA
"195";18;0,177;10,75;"7,525";0,073;5,5;"0,1";"0,0523";"0,0432";"0,0202";0,004683;0,00383;0,0191125;0,01225;NA;NA;NA;NA;NA;NA
"196";18;0,177;10,75;"8,600";0,056;5;"0,1075";"0,0325";"0,0418";"0,0124";0,0045;0,002575;0,0225375;0,0133875;NA;NA;NA;NA;NA;NA
"197";18;0,177;10,75;"9,675";0,031;2;"0,0505";"0,0084";"0,0193";"0,003";0,002205;0,00054;0,019275;0,0146125;NA;NA;NA;NA;NA;NA
"198";18;0,177;10,75;"10,750";0,009;0,11;"0,011";"0,0019";"0,0047";"0,0009";0,00044;7,3e-05;0,0263;0,036525;NA;NA;NA;NA;NA;NA
"199";19;0,198;10,93;"0,000";0,237;NA;"";"";"";"";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"200";19;0,198;10,93;"1,093";0,208;47;"1.244";"0,861";"0,60661";"0,42897";0,039745;0,032015;0,0281375;0,02335;39,38;19,69;2,9;1,7;0,536;0,17
"201";19;0,198;10,93;"2,186";0,199;38;"0,961";"0,6292";"0,4769";"0,35874";0,03285;0,0287;0,0258625;0,0216375;NA;NA;NA;NA;NA;NA
"202";19;0,198;10,93;"3,279";0,208;35;"0,761";"0,5492";"0,38878";"0,26202";0,029345;0,030235;0,0226875;0,0163375;NA;NA;NA;NA;NA;NA
"203";19;0,198;10,93;"4,372";0,146;28;"0,874";"0,4111";"0,42237";"0,20388";0,03319;0,015485;0,0238375;0,0235125;NA;NA;NA;NA;NA;NA
"204";19;0,198;10,93;"5,465";0,138;17,5;"0,4489";"0,3001";"0,22292";"0,1601";0,01511;0,012656;0,026175;0,02025;NA;NA;NA;NA;NA;NA
"205";19;0,198;10,93;"6,558";0,1;13;"0,3119";"0,2235";"0,158";"0,1132";0,01418;0,007;0,020575;0,0278;NA;NA;NA;NA;NA;NA
"206";19;0,198;10,93;"7,651";0,094;9;"0,1646";"0,0874";"0,0798";"0,0427";0,007686;0,00556;0,019525;0,014225;NA;NA;NA;NA;NA;NA
"207";19;0,198;10,93;"8,744";0,068;6;"0,2753";"0,0874";"0,143";"0,0451";0,00746;0,003145;0,0345125;0,0249125;NA;NA;NA;NA;NA;NA
"208";19;0,198;10,93;"9,837";0,035;3;"0,0857";"0,0482";"0,0411";"0,0227";0,00368;0,000955;0,02265;0,050675;NA;NA;NA;NA;NA;NA
"209";19;0,198;10,93;"10,930";0,013;0,41;"0,0303";"0,0064";"0,0155";"0,0026";0,00084;0,000173;0,0319375;0,03748;NA;NA;NA;NA;NA;NA
